Phylum,Class,Order,Family,Genus
,,,,Rhodoglobus
,,,,Glaciihabitans
,,,,Galbitalea
,,,,Cryobacterium
,,,,Rathayibacter
,,,,WSTA01
,,,,Agromyces
,,,,Leifsonia_A
,,,,Microterricola
,,,,Leifsonia
,,,,Humibacter
,,,,Gryllotalpicola
,,,,MWH-TA3
,,,,Pontimonas
,,,,Kocuria
,,,,Rothia
,,,,Tersicoccus
,,,,Nesterenkonia
,,,,Micrococcus
,,,,Citricoccus
,,,,Enteractinococcus
,,,,Yaniella
,,,,Neomicrococcus
,,,,Glutamicibacter
,,,,Zhihengliuella
,,,,Arthrobacter_H
,,,,Paeniglutamicibacter
,,,,Pseudoglutamicibacter
,,,,Galactobacter
,,,,Arthrobacter_B
,,,,Arthrobacter_D
,,,,Specibacter
,,,,Renibacterium
,,,,Psychromicrobium
,,,,Arthrobacter
,,,,Pseudarthrobacter
,,,,Arthrobacter_I
,,,,Arthrobacter_K
,,,,Arthrobacter_G
,,,,Paenarthrobacter
,,,,Sinomonas
,,,,Arthrobacter_C
,,,,Arthrobacter_F
,,,,TAE3-ERU5
,,,,Brachybacterium
,,,,Dermabacter
,,,,Alloscardovia
,,,,Scardovia
,,,,Pseudoscardovia
,,,,Galliscardovia
,,,,Bifidobacterium
,,,,Aeriscardovia
,,,,RGIG7107
,,,,RGIG1476
,,,,Oceanitalea
,,,,Bowdeniella
,,,,UBA1383
,,,,Flaviflexus
,,,,Actinobaculum
,,,,Actinotignum
,,,,Asp313
,,,,Peptidiphaga
,,,,Ancrocorticia
,,,,RUG11864
,,,,Arcanobacterium_A
,,,,Trueperella
,,,,Arcanobacterium
,,,,Actinomyces
,,,,Boudabousia
,,,,Winkia
,,,,Varibaculum
,,,,UMGS822
,,,,Gleimia
,,,,Pauljensenia
,,,,Scrofimicrobium
,,,,Mobiluncus
,,,,Georgenia
,,,,Occultella
,,,,Ruania
,,,,Haloactinobacterium
,,,,Pseudactinotalea
,,,,Serinibacter_A
,,,,Sediminihabitans
,,,,Myceligenerans
,,,,Promicromonospora
,,,,Xylanimonas
,,,,Isoptericola
,,,,Cellulosimicrobium
,,,,Luteimicrobium
,,,,Oerskovia
,,,,Flavimobilis
,,,,Rarobacter
,,,,Sanguibacter
,,,,Timonella
,,,,Jonesia
,,,,Cellulomonas
,,,,Actinotalea
,,,,Demequina
,,,,JAFGBM01
,,,,Kineococcus
,,,,Pseudokineococcus
,,,,Quadrisphaera
,,,,Kineosporia
,,,,R-H-3
,,,,JADJPO01
,,,,WHTI01
,,,,JACDDL01
,,,,JACDCJ01
,,,,AC-51
,,,,HRBIN12
,,,,AC-67
,,,,SCSIO-52909
,,,,JACDGB01
,,,,SCSIO-52915
,,,,Rubrobacter_A
,,,,JACCWD01
,,,,Rubrobacter
,,,,Rubrobacter_B
,,,,JACWAD01
,,,,JACRMB01
,,,,RBG-16-64-13
,,,,Bog-752
,,,,CAIXSE01
,,,,UBA2241
,,,,SYFI01
,,,,Miltoncostaea
,,,,Ga0077560
,,,,VAYN01
,,,,67-14
,,,,RHKX01
,,,,JACPNS01
,,,,Thermoleophilum
,,,,JAAYBF01
,,,,JACVRW01
,,,,AC-37
,,,,JACCUC01
,,,,Palsa-513
,,,,Palsa-744
,,,,Conexibacter
,,,,Palsa-465
,,,,Solirubrobacter
,,,,CADCVQ01
,,,,SYBY01
,,,,F1-60-MAGs163
,,,,Patulibacter
,,,,Baekduia
,,,,SEOHO-28
,,,,JACVSB01
,,,,Fen-549
,,,,13-2-20CM-68-14
,,,,AC-32
,,,,VAXT01
,,,,AC-50
,,,,3-1-20CM-4-69-9
,,,,AC-21
,,,,Palsa-739
,,,,GMQP-bins7
,,,,Gaiella
,,,,PALSA-600
,,,,F1-60-MAGs149
,,,,CAG-1427
,,,,UMGS1519
,,,,UBA5808
,,,,Denitrobacterium
,,,,CACXMZ01
,,,,Aveggerthella
,,,,Slackia_A
,,,,Slackia
,,,,Berryella
,,,,UBA9715
,,,,SIG42
,,,,Ellagibacter
,,,,Senegalimassilia
,,,,Aphodovivens
,,,,RGIG3135
,,,,QWKK01
,,,,Parvibacter
,,,,CAAEEV01
,,,,Adlercreutzia
,,,,D16-63
,,,,ZJ304
,,,,MGBC163016
,,,,Gordonibacter
,,,,Paraeggerthella
,,,,Eggerthella
,,,,Rubneribacter
,,,,Enteroscipio
,,,,CAJFUR01
,,,,Raoultibacter
,,,,D16-34
,,,,WRHU01
,,,,WQXH01
,,,,WQXZ01
,,,,UBA8131
,,,,UBA1419
,,,,Coprousia
,,,,Enorma
,,,,Limicola
,,,,Collinsella
,,,,Atopobium
,,,,Olegusella
,,,,UBA1367
,,,,Fannyhessea
,,,,Parafannyhessea
,,,,Olsenella_F
,,,,Olsenella_H
,,,,RUG440
,,,,UBA7741
,,,,Tractidigestivibacter
,,,,Thermophilibacter
,,,,Paratractidigestivibacter
,,,,Lancefieldella
,,,,RUG721
,,,,UBA7748
,,,,NM07-P-09
,,,,Parolsenella
,,,,CAIFEU01
,,,,UMGS124
,,,,CACZQA01
,,,,QAMH01
,,,,WRDL01
,,,,WQUG01
,,,,WRBW01
,,,,WQVN01
,,,,UBA2272
,,,,UBA7930
,,,,UBA6100
,,,,UBA2279
,,,,UBA2286
,,,,PALSA-660
,,,,SLCP01
,,,,SKKZ01
,,,,JAHIPE01
,,,,Solincola_A
,,,,Solincola_B
,,,,SURF-21
,,,,Humimicrobium
,,,,VGAZ01
,,,,Fen731
,,,,M55B120
,,,,Hydromicrobium
,,,,Halolacustris
,,,,Aquicultor
,,,,UBA3950
,,,,Caldatribacterium
,,,,Atribacter
,,,,SKXZ01
,,,,UBA6794
,,,,34-128
,,,,AE-B3A
,,,,PWMP01
,,,,CG03
,,,,UBA8919
,,,,UBA9627
,,,,JAAYVG01
,,,,UBA2231
,,,,UBA9634
,,,,UBA9959
,,,,JAHJSU01
,,,,YA12-FULL-51-18
,,,,UBA1174
,,,,Elusimicrobium
,,,,Avelusimicrobium
,,,,UBA1436
,,,,JACQWX01
,,,,PALSA-1176
,,,,GWA2-66-18
,,,,UBA9628
,,,,JACRDR01
,,,,UBA9639
,,,,UBA1565
,,,,SCTT01
,,,,O2-12-FULL-59-9
,,,,2-02-FULL-39-32
,,,,2-01-FULL-60-11
,,,,JADKHR01
,,,,DTEH01
,,,,OXYB2-FULL-48-7
,,,,RUG658
,,,,Endomicrobium
,,,,WVXT01
,,,,UBA6262
,,,,Bog-1183
,,,,CAIOVX01
,,,,D2-FULL-39-29
,,,,CAIYPD01
,,,,DSYL01
,,,,PGYV01
,,,,CG2-30-40-21
,,,,DRGV01
,,,,UBA6266
,,,,UBA3222
,,,,Verruco-01
,,,,SLLG01
,,,,CK1056
,,,,UBA2995
,,,,PXDC01
,,,,SLOW01
,,,,Pelagicoccus
,,,,UBA5691
,,,,J108
,,,,CAJCBL01
,,,,Opitutus
,,,,CAITWF01
,,,,ER46
,,,,Opi-474
,,,,UBA2377
,,,,Tous-C4FEB
,,,,CAIUWA01
,,,,CAIYFD01
,,,,Palsa-1447
,,,,Cephaloticoccus
,,,,UBA6669
,,,,MWDT01
,,,,Ereboglobus
,,,,Nibricoccus
,,,,CAIYUN01
,,,,Rariglobus
,,,,Geminisphaera
,,,,IMCC26134_A
,,,,Fen-1467
,,,,Lacunisphaera
,,,,Didemnitutus
,,,,M30B9
,,,,Puniceicoccus
,,,,UBA2993
,,,,GCA-2730975
,,,,MB11C04
,,,,GCA-2690565
,,,,WN38
,,,,BACL24
,,,,UBA7441
,,,,UBA7445
,,,,Coraliomargarita
,,,,UMGS1490
,,,,Merdousia
,,,,Spyradosoma
,,,,UBA953
,,,,UBA8828
,,,,JAAYVR01
,,,,DSVZ01
,,,,CAIMTB01
,,,,SXXZ01
,,,,UBA6176
,,,,CAIVQB01
,,,,CAILNN01
,,,,CAIWAH01
,,,,UBA9464
,,,,AAA164-E04
,,,,GCA-2715965
,,,,UBA1096
,,,,SYLI01
,,,,UBA6614
,,,,JACNJL01
,,,,UBA1100
,,,,UBA11320
,,,,SXTU01
,,,,AV2
,,,,VHCZ01
,,,,SIBE01
,,,,F1-120-MAGs170
,,,,SXQI01
,,,,Palsa-1400
,,,,PALSA-1396
,,,,CAIXFN01
,,,,UBA693
,,,,PALSA-1440
,,,,WYBW01
,,,,SCTL01
,,,,UBA7542
,,,,UBA11358
,,,,DSYF01
,,,,UBA1412
,,,,Limisphaera
,,,,CAIQCK01
,,,,Palsa-1439
,,,,CAIKAP01
,,,,UBA3015
,,,,GAS474
,,,,Methylacidimicrobium
,,,,Methylacidiphilum
,,,,UBA1321
,,,,JABDGH01
,,,,JAFBAP01
,,,,JAFAVN01
,,,,JAFAMB01
,,,,UBA695
,,,,Chth-196
,,,,SXWH01
,,,,Chthoniobacter
,,,,AV69
,,,,Udaeobacter
,,,,AV40
,,,,UBA10450
,,,,AV80
,,,,JACCTI01
,,,,Palsa-1392
,,,,JACTMZ01
,,,,UBA6821
,,,,CAIWMF01
,,,,Xiphinematobacter
,,,,Terrimicrobium
,,,,QYQL01
,,,,UBA967
,,,,Akkermansia
,,,,UBA956
,,,,Haloferula
,,,,Luteolibacter
,,,,Rubritalea
,,,,UBA985
,,,,Roseibacillus_B
,,,,Roseibacillus
,,,,SW10
,,,,UBA4581
,,,,V1-115
,,,,Arctic95D-9
,,,,EC70
,,,,Roseimicrobium
,,,,Verrucomicrobium
,,,,Prosthecobacter
,,,,UBA3636
,,,,RGIG990
,,,,CAIWXQ01
,,,,Spyradenecus
,,,,UBA1200
,,,,CADCBS01
,,,,UBA1067
,,,,UBA1731
,,,,RUG572
,,,,RGIG6996
,,,,RGIG8368
,,,,DUPH01
,,,,WRJS01
,,,,JAAYLN01
,,,,RGIG5952
,,,,SLMC01
,,,,T3Sed10-140
,,,,JABMPJ01
,,,,VSJD01
,,,,PXCX01
,,,,JAABPW01
,,,,SKZA01
,,,,SLLF01
,,,,SLAD01
,,,,JAGNIJ01
,,,,DP16D-bin41
,,,,CACXEY01
,,,,JAAZFE01
,,,,Lenti-01
,,,,B70-G9
,,,,UBA5540
,,,,Pontiella
,,,,UBA1859
,,,,PXAS01
,,,,UBA6053
,,,,GWF2-50-93
,,,,SIG79
,,,,UBA1829
,,,,RGIG5327
,,,,UBA11452
,,,,RGIG8244
,,,,UBA1732
,,,,SIG77
,,,,CAIPAT01
,,,,UBA7640
,,,,SIG78
,,,,RGIG5270
,,,,UBA1776
,,,,Victivallis
,,,,UBA1784
,,,,Lenti-02
,,,,CAILUI01
,,,,JAAZKI01
,,,,UBA1407
,,,,CAAGGB01
,,,,RGIG2581
,,,,RGIG3456
,,,,JAAZIZ01
,,,,JAAZIY01
,,,,RGIG1601
,,,,UBA1724
,,,,UBA3054
,,,,RGXB01
,,,,Neptunochlamydia
,,,,VFKB01
,,,,Ga0074140
,,,,JABDHB01
,,,,SZAS-10
,,,,CAJCHM01
,,,,Rhabdochlamydia
,,,,PALSA-1444
,,,,SZUA-160
,,,,JAAKFX01
,,,,CAIPFQ01
,,,,VFKH01
,,,,Protochlamydia
,,,,Parachlamydia
,,,,HS-T3
,,,,JACCRY01
,,,,Neochlamydia
,,,,Chlamydiifrater
,,,,Chlamydia
,,,,Chlamydophila
,,,,DTJG01
,,,,JAFGKM01
,,,,CAIJMQ01
,,,,01-FULL-45-10b
,,,,JACQLI01
,,,,JACPXK01
,,,,UBA1443
,,,,XYB12-FULL-50-7
,,,,CAIJHQ01
,,,,BS750m-G21
,,,,S143-82
,,,,JADFYE01
,,,,UBA10015
,,,,2-02-FULL-52-10
,,,,UBA12451
,,,,JAAYZZ01
,,,,GCA-2753745
,,,,GCA-2753465
,,,,JAGNTT01
,,,,JACQCF01
,,,,JABDGZ01
,,,,UBA5776
,,,,GCA-002774445
,,,,UBA6249
,,,,JACROS01
,,,,2-02-FULL-45-21
,,,,Vampirococcus_B
,,,,UBA9636
,,,,JAHITE01
,,,,2-02-FULL-50-19
,,,,UBA6215
,,,,CAIMPC01
,,,,JABMQJ01
,,,,UBA10183
,,,,JAHIEN01
,,,,JACQQX01
,,,,UBA9649
,,,,2-02-FULL-67-20
,,,,JACPSQ01
,,,,GCA-2687025
,,,,UBA9662
,,,,TMED15
,,,,MSPOR6
,,,,WGA-3G
,,,,Hydrogenedens
,,,,SLFT01
,,,,JAAYJV01
,,,,JAAYBJ01
,,,,CAITNO01
,,,,SKRY01
,,,,UBA2224
,,,,DRVG01
,,,,SLMS01
,,,,UBA12191
,,,,QNYK01
,,,,UBA1146
,,,,UBA8898
,,,,UBA8108
,,,,CAIWVZ01
,,,,GCA-2683135
,,,,SXUL01
,,,,JADJEK01
,,,,SIAN01
,,,,JAEUHS01
,,,,UBA2386
,,,,GCA-2684655
,,,,VGXW01
,,,,SXPK01
,,,,JADKAF01
,,,,GW928-bin9
,,,,JABFRZ01
,,,,SXXH01
,,,,JADJNY01
,,,,WYBT01
,,,,F1-120-MAGs118
,,,,GCA-2720975
,,,,GCA-2686945
,,,,GCA-2862085
,,,,J029
,,,,UBA1135
,,,,UBA2392
,,,,H3-PLA7
,,,,HRBIN36
,,,,SIAQ01
,,,,UBA969
,,,,SYLG01
,,,,REEB421
,,,,UBA6894
,,,,Limnoglobus
,,,,Gemmata
,,,,Urbifossiella
,,,,Symmachiella
,,,,UBA10511
,,,,SXKJ01
,,,,JABMPE01
,,,,Planctopirus
,,,,Schlesneria
,,,,DSVQ01
,,,,Fuerstia
,,,,F1-80-MAGs062
,,,,SXXK01
,,,,Calycomorphotria
,,,,Alienimonas
,,,,Rubinisphaera
,,,,Thalassoglobus
,,,,TH-plancto1
,,,,UBA8437
,,,,Polystyrenella
,,,,Gimesia
,,,,PWXP01
,,,,JAHIKV01
,,,,UBA11386
,,,,RUG369
,,,,RUG695
,,,,WRKP01
,,,,RUG11551
,,,,RGIG3701
,,,,Thermogutta
,,,,JABWBD01
,,,,PALSA-1355
,,,,PNKZ01
,,,,Bremerella
,,,,Blastopirellula
,,,,GCA-2726245
,,,,SLMF01
,,,,UBA9264
,,,,UBA721
,,,,Rosistilla
,,,,UBA6163
,,,,Crateriforma
,,,,Rhodopirellula
,,,,Stieleria
,,,,Rubripirellula
,,,,Novipirellula
,,,,Roseimaritima
,,,,Aureliella
,,,,Pirellula_B
,,,,M30B19
,,,,Mariniblastus
,,,,JABAAE01
,,,,UBA7805
,,,,Bythopirellula
,,,,Lacipirellula
,,,,Aeoliella
,,,,Botrimarina
,,,,Posidoniimonas
,,,,M30B53
,,,,RGVT01
,,,,QWPN01
,,,,F1-20-MAGs016
,,,,QWOP01
,,,,BAIKAL-G1-2R
,,,,UBA1268
,,,,Tautonia
,,,,Singulisphaera
,,,,Paludisphaera
,,,,Aquisphaera
,,,,JAAYDY01
,,,,B1Sed10-187
,,,,UBA7800
,,,,Poriferisphaera
,,,,UBA12014
,,,,GCA-002862325
,,,,UBA8087
,,,,VGXO01
,,,,JAEUIT01
,,,,F1-140-MAGs142
,,,,QWPT01
,,,,UBA966
,,,,F1-60-MAGs104
,,,,SYIB01
,,,,SYPI01
,,,,SYAC01
,,,,GCA-002718515
,,,,SP202
,,,,UBA854
,,,,UBA1668
,,,,UBA12567
,,,,UBA8653
,,,,SKZB01
,,,,F1-120-MAGs238
,,,,JABWBC01
,,,,UBA2396
,,,,JAFEBO01
,,,,RI-211
,,,,UBA2402
,,,,J022
,,,,UBA6054
,,,,UBA1924
,,,,UBA1926
,,,,SLFH01
,,,,GCA-2732755
,,,,CAADGN01
,,,,PNC22
,,,,UBA5793
,,,,WQYP01
,,,,Sedimentisphaera
,,,,T3Sed10-213
,,,,4572-13
,,,,UBA7708
,,,,FEN-1350
,,,,JAFGGE01
,,,,QNBT01
,,,,DRGS01
,,,,UBA12454
,,,,DTPU01
,,,,PLanc-01
,,,,JAFGCD01
,,,,UBA2266
,,,,NIOZ-UU13
,,,,SG8-4
,,,,JAFGPS01
,,,,JAFGPJ01
,,,,CS2-K091
,,,,Fen-1362
,,,,JAFGEJ01
,,,,BS750m-G57
,,,,H1-PLA3
,,,,JAAYXS01
,,,,Fen-1342
,,,,PLA3
,,,,UTPLA1
,,,,SpSt-539
,,,,UBA1845
,,,,SBAX01
,,,,JABWBH01
,,,,2-12-FULL-52-36
,,,,Scalindua
,,,,Kuenenia
,,,,Jettenia
,,,,XYD2-FULL-41-16
,,,,Brocadia
,,,,WSZJ01
,,,,DSUN01
,,,,PUPC01
,,,,BOG-1363
,,,,JACCZE01
,,,,UBA11346
,,,,REDP01
,,,,WJKA01
,,,,JAFGDP01
,,,,BOG-1184
,,,,Chitinispirillum
,,,,GUT77
,,,,JAFGNB01
,,,,JAAYIG01
,,,,WRFX01
,,,,UBA5070
,,,,CADBQJ01
,,,,UBA1313
,,,,Hallerella
,,,,Fibrobacter
,,,,UBA1765
,,,,Fibro-01
,,,,Fibromonas
,,,,TCS61
,,,,UBA5614
,,,,UBA3900
,,,,Syntrophosphaera
,,,,Cloacimonas
,,,,UBA5456
,,,,TCS60
,,,,JGIOTU-2
,,,,JABWCQ01
,,,,WTAK01
,,,,UBA4055
,,,,SLFX01
,,,,JABWBP01
,,,,JAADJD01
,,,,J004
,,,,Caldithrix
,,,,QEVD01
,,,,QQUE01
,,,,DRLW01
,,,,Zgenome-0027
,,,,JAADGR01
,,,,4484-87
,,,,BMS3Abin05
,,,,SORT01
,,,,UBA2128
,,,,GCA-002707905
,,,,UBA2125
,,,,S15-B10
,,,,UBA2146
,,,,Marinisoma
,,,,JABHGY01
,,,,UBA1611
,,,,TMED80
,,,,CACEUX01
,,,,GCA-002708715
,,,,GCA-002718655
,,,,GCA-2722105
,,,,GCA-2691785
,,,,UBA2134
,,,,JAAZYX01
,,,,GCA-002713455
,,,,TCS55
,,,,TMED108
,,,,TMED144
,,,,UBA2126
,,,,GCA-002701945
,,,,J089
,,,,UBA8229
,,,,TS1B11
,,,,TMED161
,,,,TMED6
,,,,GCA-002719095
,,,,GCA-002707645
,,,,GCA-002718585
,,,,SCGC-AAA003-L08
,,,,D37C17
,,,,GCA-002704045
,,,,GCA-2689995
,,,,46-47
,,,,M50B103
,,,,JABMPR01
,,,,B118-G9
,,,,UBA9312
,,,,SB21
,,,,Chlorobium_A
,,,,Prosthecochloris
,,,,Chlorobaculum
,,,,Chlorobium
,,,,Thermochlorobacter
,,,,SKNL01
,,,,SLLW01
,,,,SLJN01
,,,,Cyclonatronum
,,,,Aliifodinibius
,,,,Fodinibius
,,,,SMO-BIN1
,,,,Gracilimonas
,,,,Balneola
,,,,HXMU1420-13
,,,,RHLJ01
,,,,UBA1275
,,,,SKRC01
,,,,SW132
,,,,UBA2664
,,,,QGGB01
,,,,Rhodohalobacter
,,,,UBA2364
,,,,QS-8-64-10
,,,,Salinibacter
,,,,Longibacter
,,,,Tc-Br11-B2g6-7
,,,,Bin80
,,,,Rhodothermus
,,,,JABDJZ01
,,,,JAAZVD01
,,,,UBA10348
,,,,JABDKH01
,,,,Rubrivirga
,,,,Rubricoccus
,,,,Cardinium
,,,,Amoebophilus
,,,,UBA8403
,,,,GCA-2715645
,,,,MED-G16
,,,,UBA9547
,,,,REAG01
,,,,Cytophaga
,,,,REBA01
,,,,Sporocytophaga
,,,,Solirubrum
,,,,Hymenobacter
,,,,Nibribacter
,,,,Rufibacter
,,,,Botryobacter
,,,,Pontibacter
,,,,Adhaeribacter_A
,,,,Adhaeribacter
,,,,Microscilla
,,,,RDXI01
,,,,RDXZ01
,,,,Thermonema
,,,,Raineya
,,,,Larkinella
,,,,Rudanella
,,,,Fibrisoma
,,,,Spirosoma
,,,,Fibrella
,,,,Dyadobacter
,,,,Persicitalea
,,,,Runella
,,,,Siphonobacter
,,,,Allopseudarcicella
,,,,Aquirufa
,,,,Arcicella
,,,,Flectobacillus
,,,,Emticicia
,,,,Leadbetterella
,,,,Flammeovirga
,,,,Thermoflexibacter
,,,,RDZD01
,,,,Bernardetia
,,,,JAAUQL01
,,,,Roseivirga
,,,,Fabibacter
,,,,Belliella
,,,,Cecembia
,,,,Aquiflexum
,,,,Mongoliibacter
,,,,Cyclobacterium
,,,,Negadavirga
,,,,Lunatimonas
,,,,Echinicola
,,,,Litoribacter
,,,,Algoriphagus
,,,,Fulvivirga
,,,,UBA2336
,,,,Chryseotalea
,,,,ZC4RG29
,,,,Chryseolinea
,,,,Ohtaekwangia
,,,,PWU20
,,,,ELB16-189
,,,,Ekhidna
,,,,UBA7330
,,,,Marinoscillum
,,,,UBA4465
,,,,Reichenbachiella
,,,,Fabibacter_A
,,,,Marivirga
,,,,SZUA-3
,,,,Cesiribacter
,,,,Nafulsella
,,,,JABDEJ01
,,,,CAILMK01
,,,,JABINZ01
,,,,JACPUW01
,,,,CAIOSU01
,,,,UBA7236
,,,,UBA11426
,,,,UBA8649
,,,,JAFMKE01
,,,,UBA1941
,,,,Bog-950
,,,,UBA7692
,,,,CHPMRC01
,,,,JADJSS01
,,,,Aureispira
,,,,Saprospira
,,,,OLB8
,,,,JADKKF01
,,,,SLDF01
,,,,JAGNXB01
,,,,JADJTT01
,,,,UBA6168
,,,,Phaeodactylibacter
,,,,Lewinella_A
,,,,Lewinella
,,,,JADJPL01
,,,,Haliscomenobacter
,,,,BJGN01
,,,,JABWBR01
,,,,JAAFJT01
,,,,M3007
,,,,JADKGY01
,,,,UBA3362
,,,,PWJY01
,,,,JABDMH01
,,,,OLB9
,,,,JADKBO01
,,,,RFSX01
,,,,GYS-P2D
,,,,JAEUUX01
,,,,UBA2359
,,,,JACCZZ01
,,,,UBA10324
,,,,CAIODY01
,,,,Ferruginibacter
,,,,Ginsengibacter
,,,,AWTP1-9
,,,,Lacibacter
,,,,Agriterribacter
,,,,SXYR01
,,,,Dinghuibacter
,,,,Puia
,,,,UBA3961
,,,,Flavitalea
,,,,Paraflavitalea
,,,,Pseudobacter
,,,,Niastella
,,,,JADCRZ01
,,,,Flavihumibacter
,,,,JACMLD01
,,,,SpSt-398
,,,,VBAS01
,,,,JAFDYH01
,,,,UTBCD1
,,,,Niabella
,,,,Terrimonas
,,,,46-32
,,,,VBAT01
,,,,JJ008
,,,,Flavisolibacter
,,,,Flaviaesturariibacter
,,,,Phnomibacter
,,,,Filimonas
,,,,Panacibacter
,,,,JABDFW01
,,,,QFOI01
,,,,Arachidicoccus
,,,,Parafilimonas
,,,,UBA10646
,,,,CAILAF01
,,,,CW01
,,,,Hydrotalea
,,,,JAAFHG01
,,,,UBA1930
,,,,CAIVPM01
,,,,Sediminibacterium
,,,,Segetibacter
,,,,FW021-bin31
,,,,Thermoflavifilum
,,,,Chitinophaga
,,,,Edaphocola
,,,,UBA1952
,,,,UBA1312
,,,,Flavipsychrobacter
,,,,OLB11
,,,,JABMMZ01
,,,,RGEC01
,,,,VMCP01
,,,,UBA955
,,,,UBA987
,,,,UBA9320
,,,,UBA8524
,,,,CAINMV01
,,,,UBA6183
,,,,RGVD01
,,,,JAAFJM01
,,,,B1
,,,,F1-60-MAGs140
,,,,SYHX01
,,,,NORP286
,,,,CAIKLP01
,,,,Mucilaginibacter_A
,,,,Mucilaginibacter
,,,,SSFR01
,,,,Daejeonella
,,,,Pararcticibacter
,,,,Arcticibacter
,,,,SYSU-D00535
,,,,Pelobium
,,,,Pedobacter
,,,,Pseudosphingobacterium
,,,,Sphingobacterium
,,,,Parapedobacter
,,,,Albibacterium
,,,,Solitalea
,,,,JADKFV01
,,,,JADKJB01
,,,,CAINEC01
,,,,OLB10
,,,,JADKIH01
,,,,JADKJP01
,,,,QQVM01
,,,,CAINVI01
,,,,JABDAW01
,,,,JABEUT01
,,,,JABDFU01
,,,,UBA4416
,,,,JAFLBH01
,,,,UBA2475
,,,,PALSA-968
,,,,JAEUTT01
,,,,2-12-FULL-35-15
,,,,Palsa-965
,,,,GCA-2737665
,,,,Palsa-948
,,,,UBA4408
,,,,PUKZ01
,,,,SKVR01
,,,,UBA7960
,,,,SLSG01
,,,,PUML01
,,,,PYGY01
,,,,PUPG01
,,,,SKTA01
,,,,PWND01
,,,,UBA12170
,,,,BM524
,,,,UBA6244
,,,,GCA-002708315
,,,,UBA4459
,,,,B6-G9
,,,,B16-G9
,,,,SZUA-53
,,,,UBA6192
,,,,UBA5536
,,,,Limimorpha
,,,,UBA4417
,,,,Lentimicrobium
,,,,JAAYJT01
,,,,FEN-979
,,,,QYOJ01
,,,,CAIRDP01
,,,,CAIVAT01
,,,,CAINEZ01
,,,,CAIWKO01
,,,,JACABE01
,,,,B18-G4
,,,,M55B132
,,,,GCA-002840985
,,,,SABY01
,,,,RZYY01
,,,,JAADJA01
,,,,JAFGHD01
,,,,UBA6267
,,,,4572-112
,,,,RGIG7150
,,,,BM520
,,,,GWE2-42-24
,,,,TTA-H9
,,,,UBA5429
,,,,JAFTCA01
,,,,RUG11942
,,,,RUG11690
,,,,F23-D06
,,,,UBA1756
,,,,UBA1205
,,,,UBA5266
,,,,UBA1195
,,,,WRKV01
,,,,Pullibacteroides
,,,,UBA1219
,,,,HGM05376
,,,,UBA1217
,,,,RGIG10147
,,,,UBA1711
,,,,UBA10566
,,,,Phil12
,,,,Onthomorpha
,,,,BM518
,,,,GWF2-43-63
,,,,DTU049
,,,,JAADGE01
,,,,NBLH01
,,,,JAFGUD01
,,,,UBA3824
,,,,UBA1715
,,,,WQTX01
,,,,UBA6680
,,,,RUG13583
,,,,GWE2-40-63
,,,,Salinivirga
,,,,JAAYPI01
,,,,Enterocola
,,,,Aphodosoma
,,,,F0058
,,,,W0P28-013
,,,,RGIG9608
,,,,UBA1754
,,,,RF16
,,,,UBA3747
,,,,Gallipaludibacter
,,,,WRGS01
,,,,UPXZ01
,,,,MVYY01
,,,,Paludibacter
,,,,Microbacter
,,,,UBA4363
,,,,UBA4345
,,,,UBA1181
,,,,UBA1723
,,,,RGIG10190
,,,,UBA11471
,,,,Caccoplasma
,,,,Coprobacter
,,,,Gallibacteroides
,,,,Barnesiella
,,,,Barnesiella_A
,,,,RGIG4576
,,,,Avimuribaculum
,,,,Sodaliphilus
,,,,SFTJ01
,,,,Limisoma
,,,,RUG14106
,,,,RGIG4079
,,,,Muribaculum
,,,,Paramuribaculum
,,,,Duncaniella
,,,,CAG-1031
,,,,Amulumruptor
,,,,UBA3263
,,,,CAG-873
,,,,UBA7173
,,,,CAG-485
,,,,UBA3663
,,,,Ga6A1
,,,,UBA1786
,,,,UBA4334
,,,,UBA3839
,,,,RGIG8745
,,,,RUG11857
,,,,Paraprevotella
,,,,UBA4372
,,,,Prevotella
,,,,UBA6398
,,,,UBA6382
,,,,Alloprevotella
,,,,UBA4293
,,,,UBA2918
,,,,UBA1794
,,,,OM05-12
,,,,Bacteroides
,,,,Bacteroides_E
,,,,Bacteroides_H
,,,,Bacteroides_G
,,,,Phocaeicola_A
,,,,Phocaeicola
,,,,UBA1189
,,,,HGM04593
,,,,UBA1179
,,,,Avibacteroides
,,,,Azobacteroides
,,,,UBA1309
,,,,Dysgonomonas
,,,,UBA2632
,,,,UBA4179
,,,,Petrimonas
,,,,Proteiniphilum
,,,,Fermentimonas
,,,,Porphyromonas_A
,,,,Porphyromonas
,,,,Parabacteroides
,,,,Barb7
,,,,Tannerella
,,,,Macellibacteroides
,,,,UBA8389
,,,,UBA1402
,,,,UBA1757
,,,,W3P20-009
,,,,Breznakibacter
,,,,SZUA-582
,,,,Carboxylicivirga
,,,,Geofilum
,,,,Natronoflexus
,,,,Marinilabilia
,,,,Anaerophaga
,,,,Saccharicrinis
,,,,Ancylomarina
,,,,Labilibaculum
,,,,Marinifilum
,,,,Gabonibacter
,,,,Butyricimonas
,,,,RGIG9079
,,,,Odoribacter
,,,,Prolixibacter
,,,,CAINVV01
,,,,JAAFHB01
,,,,UBA1413
,,,,JABMQB01
,,,,Mariniphaga
